frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
129,18789.0,8,993,962,,,,,,,8,834,1002,,,,,,,7,794,841,,,,,,,,,,,,,,,
130,19208.5,8,996,1004,,,,,,,9,832,1004,,,,,,,7,831,839,,,,,,,,,,,,,,,
131,19247.9,8,993,1002,,,,,,,8,829,1001,,,,,,,7,830,836,,,,,,,,,,,,,,,
132,19287.8,8,990,1002,,,,,,,9,827,999,,,,,,,7,829,834,,,,,,,,,,,,,,,
133,19371.7,8,985,1001,,,,,,,9,822,994,,,,,,,7,828,830,,,,,,,,,,,,,,,
134,19499.4,8,980,1002,,,,,,,9,816,991,,,,,,,7,828,827,,,,,,,,,,,,,,,
135,19747.9,8,980,1002,,,,,,,9,816,991,,,,,,,7,828,827,,,,,,,,,,,,,,,
136,19831.3,8,982,1003,,,,,,,9,818,993,,,,,,,7,828,829,,,,,,,,,,,,,,,
137,19871.7,8,984,1003,,,,,,,9,820,995,,,,,,,7,828,830,,,,,,,,,,,,,,,
138,19955.2,8,987,1003,,,,,,,9,823,998,,,,,,,7,828,833,,,,,,,,,,,,,,,
139,20248.4,8,996,1001,,,,,,,9,832,1003,,,,,,,7,829,839,,,,,,,,,,,,,,,
140,20331.2,8,995,1001,,,,,,,9,830,1003,,,,,,,7,829,838,,,,,,,,,,,,,,,
141,20371.7,8,995,1001,,,,,,,9,830,1003,,,,,,,8,828,838,,,,,,,,,,,,,,,
142,20496.4,8,996,1004,,,,,,,9,832,1005,,,,,,,7,829,840,,,,,,,,,,,,,,,
143,20579.4,8,996,1003,,,,,,,9,831,1003,,,,,,,7,831,838,,,,,,,,,,,,,,,
144,20663.3,8,997,1002,,,,,,,9,833,1003,,,,,,,7,831,838,,,,,,,,,,,,,,,
145,20747.7,8,997,1001,,,,,,,9,834,1004,,,,,,,7,830,839,,,,,,,,,,,,,,,
146,20831.2,8,997,1001,,,,,,,9,833,1005,,,,,,,7,829,840,,,,,,,,,,,,,,,
147,20871.6,8,997,1003,,,,,,,9,832,1005,,,,,,,7,829,840,,,,,,,,,,,,,,,
148,20955.2,8,996,1004,,,,,,,9,832,1005,,,,,,,7,831,839,,,,,,,,,,,,,,,
149,21080.4,8,998,1004,,,,,,,9,832,1004,,,,,,,7,831,839,,,,,,,,,,,,,,,
150,21163.4,8,996,1003,,,,,,,9,832,1004,,,,,,,7,831,839,,,,,,,,,,,,,,,
151,21204.3,8,994,1003,,,,,,,8,829,1005,,,,,,,7,828,840,,,,,,,,,,,,,,,
152,21287.3,7,981,1003,,,,,,,7,817,1001,,,,,,,6,820,837,,,,,,,,,,,,,,,
157,21787.3,,,,,,,,,,6,878,591,,,,,,,,,,,,,,,,,,,,,,,,
158,21871.3,,,,,,,,,,7,887,611,,,,,,,,,,,,,,,,,,,,,,,,
159,21996.7,6,848,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,22079.5,7,858,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,22497.3,,,,,,,,,,,,,,,,,,,6,806,266,,,,,,,,,,,,,,,
164,22540.8,,,,,,,,,,,,,,,,,,,5,795,279,,,,,,,,,,,,,,,
166,22747.9,8,657,52,,,,,,,7,771,169,,,,,,,,,,,,,,,,,,,,,,,,
167,22787.7,8,652,58,,,,,,,7,757,184,,,,,,,,,,,,,,,,,,,,,,,,
168,22831.6,8,648,65,,,,,,,6,743,199,,,,,,,,,,,,,,,,,,,,,,,,
169,22872.4,8,643,73,,,,,,,6,727,213,,,,,,,,,,,,,,,,,,,,,,,,
170,23120.9,7,611,132,,,,,,,5,625,297,,,,,,,,,,,,,,,,,,,,,,,,
171,23247.1,7,590,169,,,,,,,5,566,333,,,,,,,5,409,307,,,,,,,,,,,,,,,
172,23497.2,6,533,250,,,,,,,6,442,385,,,,,,,7,310,292,,,,,,,,,,,,,,,
173,23664.0,6,483,306,,,,,,,5,357,408,,,,,,,7,257,279,,,,,,,,,,,,,,,
174,23707.3,6,468,320,,,,,,,6,334,413,,,,,,,8,246,276,,,,,,,,,,,,,,,
175,24040.3,5,332,420,,,,,,,8,169,418,,,,,,,8,171,256,,,,,,,,,,,,,,,
176,24163.3,5,272,451,,,,,,,7,113,413,,,,,,,8,151,256,,,,,,,,,,,,,,,
177,24204.1,5,251,459,,,,,,,8,95,410,,,,,,,8,145,256,,,,,,,,,,,,,,,
178,24755.3,8,121,538,,,,,,,9,32,401,,,,,,,7,171,314,,,,,,,,,,,,,,,
179,24827.5,8,120,547,,,,,,,9,42,403,,,,,,,8,186,328,,,,,,,,,,,,,,,
180,24871.3,8,120,552,,,,,,,9,47,405,,,,,,,7,194,334,,,,,,,,,,,,,,,
181,24912.8,8,120,556,,,,,,,9,52,407,,,,,,,8,202,342,,,,,,,,,,,,,,,
182,24995.4,8,119,564,,,,,,,9,62,411,,,,,,,8,216,356,,,,,,,,,,,,,,,
183,25164.2,8,117,579,,,,,,,9,83,418,,,,,,,7,243,386,,,,,,,,,,,,,,,
184,25328.8,8,116,591,,,,,,,9,106,428,,,,,,,7,269,418,,,,,,,,,,,,,,,
185,25536.6,8,116,604,,,,,,,8,135,442,,,,,,,7,298,460,,,,,,,,,,,,,,,
186,25619.4,8,117,610,,,,,,,8,147,448,,,,,,,7,308,478,,,,,,,,,,,,,,,
187,25873.1,8,122,623,,,,,,,9,186,472,,,,,,,7,337,533,,,,,,,,,,,,,,,
188,26080.3,8,130,634,,,,,,,8,221,496,,,,,,,7,357,582,,,,,,,,,,,,,,,
189,26163.2,8,134,639,,,,,,,9,235,506,,,,,,,7,364,602,,,,,,,,,,,,,,,
